"","name","start_year","age","years","value","aav","sign_bonus","gtd","prac_gtd","length","position.y","games","recent_team","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr"
"1","Aaron Rodgers","2023",39,3,112500000,37500000,NA,7.5e+07,7.5e+07,"2023-2025 (FA: 2026)","QB",17,"GB",350,542,3695,26,12,32,258,4,2,4341,1879,177,-6.30994553598328,2,0.851186362589265,0.0684824600499633,34,94,1,2,2,9,-7.81497386895461,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,239.2,239.2
"2","Andy Dalton","2023",35,2,1e+07,5e+06,4835000,8e+06,8e+06,"2023-2024 (FA: 2025)","QB",14,"NO",252,378,2871,18,9,25,189,4,1,2971,1328,135,17.9905970400699,1,0.96634129922585,0.072441983516845,30,54,0,1,0,6,-8.73576250477078,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,174.24,174.24
"3","Anthony Brown","2023",29,1,1165000,1165000,NA,NA,NA,"2023-2023 (FA: 2024)","QB",2,"BAL",22,49,302,0,2,5,14,1,1,401,142,13,-16.465219842052,0,0.753117206982544,-0.0794807191842312,3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,5.58,5.58
"4","Bailey Zappe","2023",23,1,870000,870000,NA,NA,NA,"2023-2023 (FA: 2024)","QB",4,"NE",65,92,781,5,3,6,40,2,2,624,384,37,7.68501790863156,0,1.25160256410256,0.101953860285992,10,0,0,2,1,0,-6.09972296986059,0,1,1,-6,0,0,0,-8,2,0,-1.24259237432852,0,0,0.032258064516129,-0.0437158469945355,0.0177860038780187,0,38.64,39.64
"5","Baker Mayfield","2023",27,1,4e+06,4e+06,2875000,4e+06,4e+06,"2023-2023 (FA: 2024)","QB",12,"LA",201,335,2163,10,8,36,217,4,1,2271,1132,94,-50.3416971831075,0,0.952443857331572,-0.0140628214978494,31,89,1,5,1,7,-7.13356569058593,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,121.42,121.42
"6","Blaine Gabbert","2023",33,1,1317500,1317500,152500,1092500,1092500,"2023-2023 (FA: 2024)","QB",1,"TB",6,8,29,1,0,0,0,0,0,20,37,2,0.21524419792695,0,1.45,0.0733880415496395,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,5.16,5.16
"7","Brandon Allen","2023",30,1,1232500,1232500,NA,2e+05,2e+05,"2023-2023 (FA: 2024)","QB",1,"CIN",3,3,22,0,0,1,0,0,0,10,12,1,-0.688253925150088,0,2.2,NA,3,-1,0,0,0,1,0.4678962926846,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0.78,0.78
"8","Brett Rypien","2023",26,1,1080000,1080000,NA,NA,NA,"2023-2023 (FA: 2024)","QB",4,"DEN",53,88,483,2,4,8,47,2,1,734,267,24,-29.22884806378,0,0.658038147138965,0.00469747668346392,6,7,0,1,0,2,-0.541646446508821,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,18.02,18.02
"9","Brian Hoyer","2023",37,2,4500000,2250000,875000,4205000,4205000,"2023-2024 (FA: 2025)","QB",1,"NE",5,6,37,0,0,1,8,0,0,28,22,2,-2.12652387350423,0,1.32142857142857,0.101889646386438,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,1.48,1.48
"10","C.J. Beathard","2023",29,2,4500000,2250000,1e+06,2e+06,2e+06,"2023-2024 (FA: 2025)","QB",4,"JAX",7,11,35,0,1,1,5,0,0,57,20,2,-11.6011407254408,0,0.614035087719298,0.0232652885422665,4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,-1,-1
"11","Case Keenum","2023",35,2,6250000,3125000,750000,4e+06,4e+06,"2023-2024 (FA: 2025)","QB",2,"BUF",2,7,8,0,0,0,0,0,0,57,5,0,-5.78627391741611,0,0.140350877192982,-0.157390946302218,5,0,0,0,0,0,-5.39154763723491,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0.32,0.32
"12","Cooper Rush","2023",29,2,5e+06,2500000,1250000,2750000,2750000,"2023-2024 (FA: 2025)","QB",8,"DAL",94,162,1051,5,3,7,49,2,0,1247,455,52,-9.40141764110182,0,0.842822774659182,0.00933521811360543,9,6,0,0,0,1,-3.28913390773969,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,56.64,56.64
"13","Daniel Jones","2023",25,4,1.6e+08,4e+07,3.6e+07,8.1e+07,9.2e+07,"2023-2026 (FA: 2027)","QB",18,"NYG",356,534,3641,17,6,52,281,5,2,3446,1829,179,19.0573913686644,2,1.05658734764945,0.095304664419258,143,810,7,2,1,66,48.9437362701546,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,322.64,322.64
"14","Derek Carr","2023",31,4,1.5e+08,37500000,28500000,6e+07,1e+08,"2023-2026 (FA: 2027)","QB",15,"LV",305,502,3522,24,14,27,191,3,0,4585,1513,161,29.2955838466438,0,0.768157033805889,0.0675767625276415,24,102,0,1,0,10,1.73102392343571,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,219.08,219.08
"15","Gardner Minshew","2023",26,1,3500000,3500000,NA,3500000,3500000,"2023-2023 (FA: 2024)","QB",6,"PHI",44,76,663,3,3,6,28,2,0,717,251,30,7.42553154098839,0,0.924686192468619,0.0492901468392755,9,1,1,1,1,1,-15.8284926680944,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,36.62,36.62
"16","Geno Smith","2023",32,3,7.5e+07,2.5e+07,NA,27300000,4e+07,"2023-2025 (FA: 2026)","QB",18,"SEA",424,607,4535,32,12,49,373,6,3,4651,1853,220,32.5334669896603,0,0.975059127069447,0.11778834941004,72,394,1,3,2,26,2.59000463308992,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,320.8,320.8
"17","Jacoby Brissett","2023",30,1,8e+06,8e+06,4500000,7500000,7500000,"2023-2023 (FA: 2024)","QB",14,"CLE",236,369,2608,12,6,24,160,5,3,3154,1095,129,19.6926323235028,0,0.826886493341788,0.104568863009681,49,243,2,1,1,28,19.8364092626725,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,168.62,168.62
"18","Jalen Hurts","2023",24,5,2.55e+08,5.1e+07,23294000,1.1e+08,179399000,"2023-2028 (FA: 2029)","QB",18,"PHI",365,547,4280,25,6,42,239,5,2,4525,2022,190,90.343727208138,0,0.94585635359116,0.145820327903463,200,903,18,6,1,84,54.1358817838839,3,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,457.5,457.5
