"","name","start_year","age","years","value","aav","sign_bonus","gtd","prac_gtd","length","position.y","games","recent_team","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr"
"1","Alexander Mattison","2023",24,2,7e+06,3500000,2500000,6350000,6350000,"2023-2024 (FA: 2025)","RB",18,"MIN",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,74,283,5,0,0,21,0.382584990555188,0,16,19,93,1,0,0,-38,128,4,4.12615690436108,0,-2.44736842105263,0.0451543177679541,-0.0132069597032217,0.058486604859676,0,73.6,89.6
"2","Ameer Abdullah","2023",29,1,1750000,1750000,2e+05,5e+05,5e+05,"2023-2023 (FA: 2024)","RB",13,"LV",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,4,20,0,0,0,2,-0.311809271416516,0,25,32,211,1,0,0,95,195,8,-1.78385341972612,0,2.22105263157895,0.0745899217707982,0.021134842308214,0.126679272271947,0,29.1,54.1
"3","Anthony McFarland","2023",23,1,940000,940000,NA,NA,NA,"2023-2023 (FA: 2024)","RB",1,"PIT",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,6,30,0,0,0,3,0.771915463672485,0,2,2,11,0,0,0,-4,15,1,-0.452709522447549,0,-2.75,0.0714285714285714,-0.0245398773006135,0.0899649430324277,0,4.1,6.1
"4","Boston Scott","2023",27,1,2e+06,2e+06,NA,1080000,1080000,"2023-2023 (FA: 2024)","RB",16,"PHI",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,69,278,5,0,0,16,-1.13787135912571,0,6,7,24,0,0,0,-15,34,0,-3.16307862545364,0,-1.6,0.0397417008251592,-0.0116216880044322,0.0514773696346362,0,60.2,66.2
"5","Chase Edmonds","2023",26,1,1232500,1232500,152500,152500,152500,"2023-2023 (FA: 2024)","RB",13,"DEN",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,68,245,2,0,0,8,-15.7059720786347,0,16,24,157,1,0,0,50,113,7,5.05957432659733,0,3.14,0.06798918070123,0.0199954422537631,0.115980580629479,0,58.2,74.2
"6","Craig Reynolds","2023",26,1,1080000,1080000,NA,NA,NA,"2023-2023 (FA: 2024)","RB",6,"DET",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,23,102,0,0,0,4,-4.25025906867813,0,9,10,116,0,0,0,8,112,5,5.99750227430527,0,14.5,0.0543135063248915,0.00130107614063731,0.0823810127857834,0,21.8,30.8
"7","D'Onta Foreman","2023",25,1,2e+06,2e+06,375000,1e+06,1e+06,"2023-2023 (FA: 2024)","RB",16,"CAR",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,203,914,5,1,0,45,2.98204335824736,1,5,9,26,0,0,0,-3,27,1,-10.932217505602,0,-8.66666666666667,0.0612956562553337,0.00960581155385252,0.0986675524706973,0,126,131
"8","Dalvin Cook","2023",28,1,7e+06,7e+06,NA,1080000,5800000,"2023-2023 (FA: 2024)","RB",18,"MIN",0,0,0,0,0,1,5,1,1,0,0,0,-6.88789240695769,0,NA,NA,279,1233,8,3,3,52,-49.506622819661,0,45,63,305,2,0,0,-48,358,17,4.15906138342014,0,-6.35416666666667,0.0972675191181691,-0.0135935643300337,0.13638578364623,0,205.8,250.8
"9","Damien Harris","2023",26,1,1770000,1770000,6e+05,1e+06,1e+06,"2023-2023 (FA: 2024)","RB",11,"NE",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,106,462,3,0,0,23,-3.71608092816314,0,17,23,97,0,0,0,25,86,4,-5.19468707495253,0,3.88,0.075450932509756,0.00886024502288136,0.119378570280651,0,73.9,90.9
"10","David Montgomery","2023",25,3,1.8e+07,6e+06,4500000,8750000,1.1e+07,"2023-2025 (FA: 2026)","RB",16,"CHI",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,201,801,5,1,1,41,-15.3133969494852,0,34,40,316,1,1,1,51,283,10,6.72230372427884,0,6.19607843137255,0.150217787124711,0.0255799469440063,0.243232643547871,0,143.7,177.7
"11","Devin Singletary","2023",25,1,2750000,2750000,1e+06,2500000,2500000,"2023-2023 (FA: 2024)","RB",18,"BUF",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,193,891,5,3,3,47,-16.32907329718,0,43,60,318,1,0,0,4,302,16,6.06388889048577,0,79.5,0.0970639025843802,0.000857397804159691,0.146196032339482,0,150.9,193.9
"12","Ezekiel Elliott","2023",28,1,3e+06,3e+06,6e+05,1100000,1100000,"2023-2023 (FA: 2024)","RB",17,"DAL",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,254,929,12,0,0,57,-16.8731250067216,0,20,29,108,0,0,0,4,107,4,-5.49147408005742,0,27,0.0621538264868494,0.000873209139033004,0.0938419861275973,0,175.7,195.7
"13","Godwin Igwebuike","2023",28,1,1010000,1010000,NA,NA,NA,"2023-2023 (FA: 2024)","RB",1,"SEA",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,3,4,0,0,0,0,-1.42175994894933,0,1,1,3,0,0,0,3,0,0,-2.79434635909274,0,1,0.0357142857142857,0.0111524163568773,0.0613781200212427,0,0.7,1.7
"14","Jamaal Williams","2023",27,3,1.2e+07,4e+06,3900000,8150000,8150000,"2023-2025 (FA: 2026)","RB",17,"DET",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,262,1066,17,3,2,65,-26.0265208153877,1,12,16,73,0,0,0,29,65,4,-1.97409258544212,0,2.51724137931034,0.0496183394468327,0.00887625562033514,0.0806408881044836,0,213.9,225.9
"15","Jerick McKinnon","2023",30,1,1317500,1317500,152500,1092500,1092500,"2023-2023 (FA: 2024)","RB",20,"KC",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,91,352,1,0,0,15,-12.6120392371959,0,61,78,544,9,1,1,46,570,29,21.7235143051913,1,11.8260869565217,0.11145049202988,0.00705662894148358,0.172115378303858,0,149.6,210.6
"16","Joe Mixon","2023",26,2,11500000,5750000,NA,4128000,7128000,"2023-2024 (FA: 2025)","RB",17,"CIN",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,249,977,8,0,0,58,-10.7249958900275,0,68,85,491,2,0,0,-31,530,18,11.9805831801761,0,-15.8387096774194,0.13392826380382,-0.0108865379272168,0.193271819156679,0,206.8,274.8
"17","Josh Jacobs","2023",25,1,11791000,11791000,2500004,10091000,10091000,"2023-2023 (FA: 2024)","RB",17,"LV",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,340,1653,12,2,0,93,-0.734085212900102,0,53,64,400,0,1,1,35,374,16,2.30787074817332,0,11.4285714285714,0.11559277508325,0.0035151057050257,0.175849736618392,0,275.3,328.3
"18","Justice Hill","2023",25,2,4510000,2255000,1e+06,1250000,1250000,"2023-2024 (FA: 2025)","RB",14,"BAL",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,49,262,0,1,1,15,-3.18598145133001,0,14,14,68,0,1,0,-24,92,2,1.95893094182247,0,-2.83333333333333,0.0630996308528636,-0.0220310021708603,0.0792277447596932,0,31,45
"19","Justin Jackson","2023",27,1,1080000,1080000,NA,NA,NA,"2023-2023 (FA: 2024)","RB",12,"DET",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,42,170,1,0,0,8,-9.89926428315812,0,12,19,101,1,0,0,19,110,7,3.81893922828904,0,5.31578947368421,0.0566914708684968,0.00694500422566422,0.0898987092607102,0,39.1,51.1
"20","Latavius Murray","2023",33,1,1317500,1317500,152500,802500,802500,"2023-2023 (FA: 2024)","RB",13,"DEN",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,171,760,6,1,0,44,-5.92846362855719,1,27,35,132,0,0,0,-63,188,4,-8.96322983021243,0,-2.0952380952381,0.0858390426175599,-0.0207436748002728,0.114237991566149,0,127.2,154.2
"21","Marlon Mack","2023",27,1,1080000,1080000,NA,NA,NA,"2023-2023 (FA: 2024)","RB",5,"DEN",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,16,84,1,0,0,4,-0.891764602274634,0,8,10,99,1,0,0,-16,114,2,3.44561273492828,0,-6.1875,0.0663788816063098,-0.0217551569392862,0.0843397125519644,0,30.3,38.3
"22","Matt Breida","2023",28,1,1400000,1400000,2e+05,5e+05,5e+05,"2023-2023 (FA: 2024)","RB",19,"NYG",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,61,251,2,0,0,15,2.70195065237931,0,21,26,137,0,0,0,66,100,6,-0.0285771886334401,0,2.07575757575758,0.0640898813357624,0.0233535616288027,0.112482315143805,0,50.8,71.8
"23","Mike Boone","2023",27,2,3100000,1550000,3e+05,3e+05,3e+05,"2023-2024 (FA: 2025)","RB",8,"DEN",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,24,102,0,0,0,6,-3.69021995814889,0,9,15,96,0,0,0,45,81,2,-7.14867603957688,0,2.13333333333333,0.0726740411213594,0.0250666189038041,0.126557694914702,0,19.8,28.8
"24","Miles Sanders","2023",25,4,25400000,6350000,5900000,1.1e+07,1.3e+07,"2023-2026 (FA: 2027)","RB",20,"PHI",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,294,1417,13,2,1,69,13.0477396512288,0,21,28,81,0,1,1,23,103,2,-12.2578541884432,0,3.52173913043478,0.0604062897534218,0.00429845108321437,0.0936183503883828,0,223.8,244.8
"25","Myles Gaskin","2023",26,1,1080000,1080000,NA,NA,NA,"2023-2023 (FA: 2024)","RB",2,"MIA",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,10,26,0,0,0,2,-4.99477203493007,0,4,6,28,0,0,0,17,20,0,-4.26989294885425,0,1.64705882352941,0.0912828947368421,0.0348574738818641,0.161324573822568,0,5.4,9.4
"26","Nyheim Hines","2023",26,2,9e+06,4500000,1e+06,2e+06,2e+06,"2023-2024 (FA: 2025)","RB",18,"BUF",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,24,33,1,0,0,2,-13.2980948163791,0,32,40,252,1,0,0,130,194,11,12.2913247215844,0,1.93846153846154,0.07255757336046,0.0285120540622179,0.128794797884243,2,52.5,84.5
"27","Raheem Mostert","2023",30,2,5600000,2800000,1300000,2200000,2200000,"2023-2024 (FA: 2025)","RB",16,"MIA",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,181,891,3,1,1,44,-0.987838224333245,0,31,42,202,2,0,0,48,179,11,1.435230348602,0,4.20833333333333,0.0855759863811893,0.010266122152407,0.135550265078469,0,137.3,168.3
"28","Rashaad Penny","2023",27,1,1350000,1350000,1e+05,6e+05,6e+05,"2023-2023 (FA: 2024)","RB",5,"SEA",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,57,346,2,1,0,15,13.1444890796556,0,4,5,16,0,0,0,-12,28,2,1.06913642963627,0,-1.33333333333333,0.0561070474863578,-0.0227534617837039,0.068233147980944,0,48.2,52.2
"29","Salvon Ahmed","2023",24,1,1450000,1450000,1e+05,3e+05,3e+05,"2023-2023 (FA: 2024)","RB",7,"MIA",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,17,67,1,0,0,4,0.194681458699051,0,4,6,53,0,0,0,17,39,2,3.28154684588415,0,3.11764705882353,0.0720238095238095,0.0182389937106918,0.120803009883199,0,18,22
"30","Samaje Perine","2023",27,2,7500000,3750000,3e+06,3e+06,3e+06,"2023-2024 (FA: 2025)","RB",19,"CIN",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,109,452,3,0,0,26,-1.8976280101744,0,46,61,322,4,0,0,-1,372,13,1.98743215092248,0,-322,0.0894838466287744,-0.006363352163608,0.129771423428636,0,119.4,165.4
"31","Saquon Barkley","2023",26,1,10091000,10091000,2e+06,10091000,10091000,"2023-2023 (FA: 2024)","RB",18,"NYG",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,313,1426,12,1,0,66,-13.836461324969,0,64,85,415,0,0,0,-27,526,15,-8.33154649610926,1,-15.3703703703704,0.165562983921042,-0.00945486329843984,0.241726071572654,0,258.1,322.1
"32","Tony Jones","2023",25,1,940000,940000,NA,NA,NA,"2023-2023 (FA: 2024)","RB",3,"SEA",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,10,24,0,0,0,3,-3.53480760171078,0,5,8,30,0,0,0,-22,34,0,-5.5157368456712,0,-1.36363636363636,0.0712212212212212,-0.023219987987379,0.0905778402406665,0,5.4,10.4
"33","Tony Pollard","2023",25,1,10091000,10091000,NA,10091000,10091000,"2023-2023 (FA: 2024)","RB",18,"DAL",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,214,1106,9,0,0,49,2.53646884842929,0,44,61,394,3,0,0,73,371,19,5.73815490743793,0,5.3972602739726,0.109515036782699,0.017553324520414,0.176559882338338,0,222,266
"34","Travis Homer","2023",24,2,4e+06,2e+06,450000,1750000,1750000,"2023-2024 (FA: 2025)","RB",8,"SEA",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,19,74,0,0,0,4,-2.41903995090979,0,16,18,157,1,1,1,38,122,7,-5.40755327302031,0,4.13157894736842,0.0865602922767557,0.0215803535565188,0.144946685904697,0,27.1,43.1
"35","Trayveon Williams","2023",25,1,1232500,1232500,52500,52500,52500,"2023-2023 (FA: 2024)","RB",4,"CIN",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,6,30,0,0,0,1,-0.613481856242288,0,2,3,30,0,0,0,20,8,1,1.58802612204454,0,1.5,0.0286849349349349,0.027977329805789,0.0626115332664547,0,6,8
