"","name","start_year","age","years","value","aav","sign_bonus","gtd","prac_gtd","length","position.y","games","recent_team","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr"
"1","Adam Thielen","2023",32,3,2.5e+07,8333333,8335000,1.4e+07,1.4e+07,"2023-2025 (FA: 2026)","WR",18,"MIN",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,4,0,0,0,0,-0.133523523807526,0,73,111,766,6,0,0,1108,157,48,14.4873815933149,1,0.691335740072202,0.167707231231072,0.233906775596792,0.415295589764362,0,115,188
"2","Allen Lazard","2023",27,4,4.4e+07,1.1e+07,10920000,2.2e+07,2.2e+07,"2023-2026 (FA: 2027)","WR",15,"GB",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,2,0,0,0,0,0,-4.00390181038529,0,60,100,788,6,0,0,1249,248,45,12.2582007338773,0,0.630904723779023,0.2045686526863,0.29804148561195,0.515482018957815,0,114.8,174.8
"3","Ashton Dulin","2023",25,2,7200000,3600000,2e+06,3500000,3500000,"2023-2024 (FA: 2025)","WR",7,"IND",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,2,8,0,0,0,1,0.343437358504161,0,15,22,207,1,0,0,252,35,12,8.30038729403168,0,0.821428571428571,0.0891965950000955,0.135160629523316,0.228407333166464,0,27.5,42.5
"4","Brandon Powell","2023",26,1,1232500,1232500,75000,275000,275000,"2023-2023 (FA: 2024)","WR",16,"LA",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,17,80,0,0,0,6,1.57804832264083,0,24,32,156,0,0,0,48,184,7,0.102760001977351,0,3.25,0.0870875332583013,0.0132897586345885,0.139934130931664,0,23.6,47.6
"5","Braxton Berrios","2023",27,1,3500000,3500000,1500000,3e+06,3e+06,"2023-2023 (FA: 2024)","WR",15,"NYJ",1,1,2,1,0,0,0,0,0,2,0,1,1.18445269513177,0,1,NA,9,91,2,0,0,5,6.21912650915328,0,18,32,145,0,0,0,218,92,8,-8.99909309379395,0,0.665137614678899,0.0683310434984617,0.0473098338496602,0.135613448942455,0,39.68,57.68
"6","Byron Pringle","2023",29,1,1080000,1080000,NA,NA,NA,"2023-2023 (FA: 2024)","WR",8,"CHI",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,10,16,135,2,0,0,225,14,8,8.89119672792731,0,0.6,0.101136107220666,0.17000083071165,0.270704742329154,0,25.5,35.5
"7","Chris Moore","2023",29,1,1317500,1317500,152500,1e+06,1e+06,"2023-2023 (FA: 2024)","WR",15,"HOU",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,3,3,0,0,0,0,-1.94801061437465,0,48,74,548,2,0,0,652,263,24,7.1283274100244,0,0.840490797546012,0.159593157459622,0.184546926972037,0.368572585069859,0,67.1,115.1
"8","D.J. Turner","2023",22,4,6160043,1540011,1480032,3260034,3260034,"2023-2026 (FA: 2027)","WR",2,"LV",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,4,26,0,0,0,1,0.268788963381667,0,0,1,0,0,0,0,-3,0,0,-0.894917232049039,0,0,0.0526315789473684,-0.0157894736842105,0.0678947368421053,0,2.6,2.6
"9","Darius Slayton","2023",26,2,1.2e+07,6e+06,3500000,4900000,4900000,"2023-2024 (FA: 2025)","WR",15,"NYG",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,3,0,0,0,0,-0.340608999948017,0,51,84,816,2,2,1,1030,307,34,33.0998668240498,0,0.792233009708738,0.195967034037273,0.375436166534224,0.556755867629867,0,91.9,142.9
"10","DeAndre Hopkins","2023",31,2,2.6e+07,1.3e+07,9815000,10980000,10980000,"2023-2024 (FA: 2025)","WR",9,"ARI",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,64,96,717,3,2,1,976,165,35,8.66571795606147,0,0.734631147540984,0.296134388538272,0.420166485702557,0.738318122799197,0,87.7,151.7
